anomaly_id,anomaly_timestamp,anomaly_moisture_vwc,relative_position,is_anomaly,device_id,timestamp,soil_moisture_vwc,soil_temp_c,ec_us_cm,light_par,air_humidity_pct
1,2026-06-01 00:00:00,105.02,0,True,SENS-04,2026-06-01 00:00:00,105.02,18.17,697.0,0.0,55.8
1,2026-06-01 00:00:00,105.02,1,False,SENS-04,2026-06-01 00:15:00,103.24,18.95,727.0,0.0,67.1
1,2026-06-01 00:00:00,105.02,2,False,SENS-04,2026-06-01 00:30:00,102.31,18.16,662.0,0.0,54.5
1,2026-06-01 00:00:00,105.02,3,False,SENS-04,2026-06-01 00:45:00,100.31,18.18,682.0,0.0,67.4
1,2026-06-01 00:00:00,105.02,4,False,SENS-04,2026-06-01 01:00:00,99.13,17.65,742.0,0.0,65.3
1,2026-06-01 00:00:00,105.02,5,False,SENS-04,2026-06-01 01:15:00,97.66,17.33,665.0,0.0,59.3
1,2026-06-01 00:00:00,105.02,6,False,SENS-04,2026-06-01 01:30:00,96.13,17.65,702.0,0.0,72.1
1,2026-06-01 00:00:00,105.02,7,False,SENS-04,2026-06-01 01:45:00,94.51,18.21,719.0,0.0,68.4
1,2026-06-01 00:00:00,105.02,8,False,SENS-04,2026-06-01 02:00:00,93.43,17.34,659.0,0.0,60.7
1,2026-06-01 00:00:00,105.02,9,False,SENS-04,2026-06-01 02:15:00,92.42,18.21,629.0,0.0,67.3
1,2026-06-01 00:00:00,105.02,10,False,SENS-04,2026-06-01 02:30:00,90.56,17.3,736.0,0.0,70.9
2,2026-06-01 00:15:00,103.24,-1,False,SENS-04,2026-06-01 00:00:00,105.02,18.17,697.0,0.0,55.8
2,2026-06-01 00:15:00,103.24,0,True,SENS-04,2026-06-01 00:15:00,103.24,18.95,727.0,0.0,67.1
2,2026-06-01 00:15:00,103.24,1,False,SENS-04,2026-06-01 00:30:00,102.31,18.16,662.0,0.0,54.5
2,2026-06-01 00:15:00,103.24,2,False,SENS-04,2026-06-01 00:45:00,100.31,18.18,682.0,0.0,67.4
2,2026-06-01 00:15:00,103.24,3,False,SENS-04,2026-06-01 01:00:00,99.13,17.65,742.0,0.0,65.3
2,2026-06-01 00:15:00,103.24,4,False,SENS-04,2026-06-01 01:15:00,97.66,17.33,665.0,0.0,59.3
2,2026-06-01 00:15:00,103.24,5,False,SENS-04,2026-06-01 01:30:00,96.13,17.65,702.0,0.0,72.1
2,2026-06-01 00:15:00,103.24,6,False,SENS-04,2026-06-01 01:45:00,94.51,18.21,719.0,0.0,68.4
2,2026-06-01 00:15:00,103.24,7,False,SENS-04,2026-06-01 02:00:00,93.43,17.34,659.0,0.0,60.7
2,2026-06-01 00:15:00,103.24,8,False,SENS-04,2026-06-01 02:15:00,92.42,18.21,629.0,0.0,67.3
2,2026-06-01 00:15:00,103.24,9,False,SENS-04,2026-06-01 02:30:00,90.56,17.3,736.0,0.0,70.9
2,2026-06-01 00:15:00,103.24,10,False,SENS-04,2026-06-01 02:45:00,89.88,17.08,815.0,0.0,75.1
3,2026-06-01 00:30:00,102.31,-2,False,SENS-04,2026-06-01 00:00:00,105.02,18.17,697.0,0.0,55.8
3,2026-06-01 00:30:00,102.31,-1,False,SENS-04,2026-06-01 00:15:00,103.24,18.95,727.0,0.0,67.1
3,2026-06-01 00:30:00,102.31,0,True,SENS-04,2026-06-01 00:30:00,102.31,18.16,662.0,0.0,54.5
3,2026-06-01 00:30:00,102.31,1,False,SENS-04,2026-06-01 00:45:00,100.31,18.18,682.0,0.0,67.4
3,2026-06-01 00:30:00,102.31,2,False,SENS-04,2026-06-01 01:00:00,99.13,17.65,742.0,0.0,65.3
3,2026-06-01 00:30:00,102.31,3,False,SENS-04,2026-06-01 01:15:00,97.66,17.33,665.0,0.0,59.3
3,2026-06-01 00:30:00,102.31,4,False,SENS-04,2026-06-01 01:30:00,96.13,17.65,702.0,0.0,72.1
3,2026-06-01 00:30:00,102.31,5,False,SENS-04,2026-06-01 01:45:00,94.51,18.21,719.0,0.0,68.4
3,2026-06-01 00:30:00,102.31,6,False,SENS-04,2026-06-01 02:00:00,93.43,17.34,659.0,0.0,60.7
3,2026-06-01 00:30:00,102.31,7,False,SENS-04,2026-06-01 02:15:00,92.42,18.21,629.0,0.0,67.3
3,2026-06-01 00:30:00,102.31,8,False,SENS-04,2026-06-01 02:30:00,90.56,17.3,736.0,0.0,70.9
3,2026-06-01 00:30:00,102.31,9,False,SENS-04,2026-06-01 02:45:00,89.88,17.08,815.0,0.0,75.1
3,2026-06-01 00:30:00,102.31,10,False,SENS-04,2026-06-01 03:00:00,88.28,17.6,718.0,0.0,69.4
4,2026-06-01 00:45:00,100.31,-3,False,SENS-04,2026-06-01 00:00:00,105.02,18.17,697.0,0.0,55.8
4,2026-06-01 00:45:00,100.31,-2,False,SENS-04,2026-06-01 00:15:00,103.24,18.95,727.0,0.0,67.1
4,2026-06-01 00:45:00,100.31,-1,False,SENS-04,2026-06-01 00:30:00,102.31,18.16,662.0,0.0,54.5
4,2026-06-01 00:45:00,100.31,0,True,SENS-04,2026-06-01 00:45:00,100.31,18.18,682.0,0.0,67.4
4,2026-06-01 00:45:00,100.31,1,False,SENS-04,2026-06-01 01:00:00,99.13,17.65,742.0,0.0,65.3
4,2026-06-01 00:45:00,100.31,2,False,SENS-04,2026-06-01 01:15:00,97.66,17.33,665.0,0.0,59.3
4,2026-06-01 00:45:00,100.31,3,False,SENS-04,2026-06-01 01:30:00,96.13,17.65,702.0,0.0,72.1
4,2026-06-01 00:45:00,100.31,4,False,SENS-04,2026-06-01 01:45:00,94.51,18.21,719.0,0.0,68.4
4,2026-06-01 00:45:00,100.31,5,False,SENS-04,2026-06-01 02:00:00,93.43,17.34,659.0,0.0,60.7
4,2026-06-01 00:45:00,100.31,6,False,SENS-04,2026-06-01 02:15:00,92.42,18.21,629.0,0.0,67.3
4,2026-06-01 00:45:00,100.31,7,False,SENS-04,2026-06-01 02:30:00,90.56,17.3,736.0,0.0,70.9
4,2026-06-01 00:45:00,100.31,8,False,SENS-04,2026-06-01 02:45:00,89.88,17.08,815.0,0.0,75.1
4,2026-06-01 00:45:00,100.31,9,False,SENS-04,2026-06-01 03:00:00,88.28,17.6,718.0,0.0,69.4
4,2026-06-01 00:45:00,100.31,10,False,SENS-04,2026-06-01 03:15:00,87.33,17.78,726.0,0.0,63.2
5,2026-06-03 00:00:00,105.23,-10,False,SENS-04,2026-06-02 21:30:00,21.4,21.04,716.0,0.0,48.0
5,2026-06-03 00:00:00,105.23,-9,False,SENS-04,2026-06-02 21:45:00,21.25,20.33,743.0,0.0,50.3
5,2026-06-03 00:00:00,105.23,-8,False,SENS-04,2026-06-02 22:00:00,22.13,20.19,704.0,0.0,48.9
5,2026-06-03 00:00:00,105.23,-7,False,SENS-04,2026-06-02 22:15:00,21.94,20.42,747.0,0.0,50.0
5,2026-06-03 00:00:00,105.23,-6,False,SENS-04,2026-06-02 22:30:00,22.88,18.6,648.0,0.0,51.0
5,2026-06-03 00:00:00,105.23,-5,False,SENS-04,2026-06-02 22:45:00,22.46,19.78,660.0,0.0,61.5
5,2026-06-03 00:00:00,105.23,-4,False,SENS-04,2026-06-02 23:00:00,22.11,19.76,677.0,0.0,54.2
5,2026-06-03 00:00:00,105.23,-3,False,SENS-04,2026-06-02 23:15:00,21.75,18.78,697.0,0.0,59.4
5,2026-06-03 00:00:00,105.23,-2,False,SENS-04,2026-06-02 23:30:00,21.17,18.31,702.0,0.0,54.7
5,2026-06-03 00:00:00,105.23,-1,False,SENS-04,2026-06-02 23:45:00,20.43,19.35,670.0,0.0,63.6
5,2026-06-03 00:00:00,105.23,0,True,SENS-04,2026-06-03 00:00:00,105.23,17.82,660.0,0.0,58.5
5,2026-06-03 00:00:00,105.23,1,False,SENS-04,2026-06-03 00:15:00,103.57,18.54,674.0,0.0,60.9
5,2026-06-03 00:00:00,105.23,2,False,SENS-04,2026-06-03 00:30:00,102.04,18.63,632.0,0.0,56.4
5,2026-06-03 00:00:00,105.23,3,False,SENS-04,2026-06-03 00:45:00,101.3,18.25,688.0,0.0,66.3
5,2026-06-03 00:00:00,105.23,4,False,SENS-04,2026-06-03 01:00:00,100.38,18.19,698.0,0.0,68.0
5,2026-06-03 00:00:00,105.23,5,False,SENS-04,2026-06-03 01:15:00,98.99,17.75,718.0,0.0,61.4
5,2026-06-03 00:00:00,105.23,6,False,SENS-04,2026-06-03 01:30:00,97.89,17.95,707.0,0.0,69.5
5,2026-06-03 00:00:00,105.23,7,False,SENS-04,2026-06-03 01:45:00,95.98,17.4,772.0,0.0,62.9
5,2026-06-03 00:00:00,105.23,8,False,SENS-04,2026-06-03 02:00:00,94.86,17.39,732.0,0.0,69.6
5,2026-06-03 00:00:00,105.23,9,False,SENS-04,2026-06-03 02:15:00,93.63,17.58,729.0,0.0,67.7
5,2026-06-03 00:00:00,105.23,10,False,SENS-04,2026-06-03 02:30:00,92.29,16.91,715.0,0.0,73.3
6,2026-06-03 00:15:00,103.57,-10,False,SENS-04,2026-06-02 21:45:00,21.25,20.33,743.0,0.0,50.3
6,2026-06-03 00:15:00,103.57,-9,False,SENS-04,2026-06-02 22:00:00,22.13,20.19,704.0,0.0,48.9
6,2026-06-03 00:15:00,103.57,-8,False,SENS-04,2026-06-02 22:15:00,21.94,20.42,747.0,0.0,50.0
6,2026-06-03 00:15:00,103.57,-7,False,SENS-04,2026-06-02 22:30:00,22.88,18.6,648.0,0.0,51.0
6,2026-06-03 00:15:00,103.57,-6,False,SENS-04,2026-06-02 22:45:00,22.46,19.78,660.0,0.0,61.5
6,2026-06-03 00:15:00,103.57,-5,False,SENS-04,2026-06-02 23:00:00,22.11,19.76,677.0,0.0,54.2
6,2026-06-03 00:15:00,103.57,-4,False,SENS-04,2026-06-02 23:15:00,21.75,18.78,697.0,0.0,59.4
6,2026-06-03 00:15:00,103.57,-3,False,SENS-04,2026-06-02 23:30:00,21.17,18.31,702.0,0.0,54.7
6,2026-06-03 00:15:00,103.57,-2,False,SENS-04,2026-06-02 23:45:00,20.43,19.35,670.0,0.0,63.6
6,2026-06-03 00:15:00,103.57,-1,False,SENS-04,2026-06-03 00:00:00,105.23,17.82,660.0,0.0,58.5
6,2026-06-03 00:15:00,103.57,0,True,SENS-04,2026-06-03 00:15:00,103.57,18.54,674.0,0.0,60.9
6,2026-06-03 00:15:00,103.57,1,False,SENS-04,2026-06-03 00:30:00,102.04,18.63,632.0,0.0,56.4
6,2026-06-03 00:15:00,103.57,2,False,SENS-04,2026-06-03 00:45:00,101.3,18.25,688.0,0.0,66.3
6,2026-06-03 00:15:00,103.57,3,False,SENS-04,2026-06-03 01:00:00,100.38,18.19,698.0,0.0,68.0
6,2026-06-03 00:15:00,103.57,4,False,SENS-04,2026-06-03 01:15:00,98.99,17.75,718.0,0.0,61.4
6,2026-06-03 00:15:00,103.57,5,False,SENS-04,2026-06-03 01:30:00,97.89,17.95,707.0,0.0,69.5
6,2026-06-03 00:15:00,103.57,6,False,SENS-04,2026-06-03 01:45:00,95.98,17.4,772.0,0.0,62.9
6,2026-06-03 00:15:00,103.57,7,False,SENS-04,2026-06-03 02:00:00,94.86,17.39,732.0,0.0,69.6
6,2026-06-03 00:15:00,103.57,8,False,SENS-04,2026-06-03 02:15:00,93.63,17.58,729.0,0.0,67.7
6,2026-06-03 00:15:00,103.57,9,False,SENS-04,2026-06-03 02:30:00,92.29,16.91,715.0,0.0,73.3
6,2026-06-03 00:15:00,103.57,10,False,SENS-04,2026-06-03 02:45:00,91.14,17.74,721.0,0.0,70.7
7,2026-06-03 00:30:00,102.04,-10,False,SENS-04,2026-06-02 22:00:00,22.13,20.19,704.0,0.0,48.9
7,2026-06-03 00:30:00,102.04,-9,False,SENS-04,2026-06-02 22:15:00,21.94,20.42,747.0,0.0,50.0
7,2026-06-03 00:30:00,102.04,-8,False,SENS-04,2026-06-02 22:30:00,22.88,18.6,648.0,0.0,51.0
7,2026-06-03 00:30:00,102.04,-7,False,SENS-04,2026-06-02 22:45:00,22.46,19.78,660.0,0.0,61.5
7,2026-06-03 00:30:00,102.04,-6,False,SENS-04,2026-06-02 23:00:00,22.11,19.76,677.0,0.0,54.2
7,2026-06-03 00:30:00,102.04,-5,False,SENS-04,2026-06-02 23:15:00,21.75,18.78,697.0,0.0,59.4
7,2026-06-03 00:30:00,102.04,-4,False,SENS-04,2026-06-02 23:30:00,21.17,18.31,702.0,0.0,54.7
7,2026-06-03 00:30:00,102.04,-3,False,SENS-04,2026-06-02 23:45:00,20.43,19.35,670.0,0.0,63.6
7,2026-06-03 00:30:00,102.04,-2,False,SENS-04,2026-06-03 00:00:00,105.23,17.82,660.0,0.0,58.5
7,2026-06-03 00:30:00,102.04,-1,False,SENS-04,2026-06-03 00:15:00,103.57,18.54,674.0,0.0,60.9
7,2026-06-03 00:30:00,102.04,0,True,SENS-04,2026-06-03 00:30:00,102.04,18.63,632.0,0.0,56.4
7,2026-06-03 00:30:00,102.04,1,False,SENS-04,2026-06-03 00:45:00,101.3,18.25,688.0,0.0,66.3
7,2026-06-03 00:30:00,102.04,2,False,SENS-04,2026-06-03 01:00:00,100.38,18.19,698.0,0.0,68.0
7,2026-06-03 00:30:00,102.04,3,False,SENS-04,2026-06-03 01:15:00,98.99,17.75,718.0,0.0,61.4
7,2026-06-03 00:30:00,102.04,4,False,SENS-04,2026-06-03 01:30:00,97.89,17.95,707.0,0.0,69.5
7,2026-06-03 00:30:00,102.04,5,False,SENS-04,2026-06-03 01:45:00,95.98,17.4,772.0,0.0,62.9
7,2026-06-03 00:30:00,102.04,6,False,SENS-04,2026-06-03 02:00:00,94.86,17.39,732.0,0.0,69.6
7,2026-06-03 00:30:00,102.04,7,False,SENS-04,2026-06-03 02:15:00,93.63,17.58,729.0,0.0,67.7
7,2026-06-03 00:30:00,102.04,8,False,SENS-04,2026-06-03 02:30:00,92.29,16.91,715.0,0.0,73.3
7,2026-06-03 00:30:00,102.04,9,False,SENS-04,2026-06-03 02:45:00,91.14,17.74,721.0,0.0,70.7
