image_id,user_plant_id,captured_at,image_path,prediction
IMG-1001-202606041630,UP-1001,2026-06-04 16:30:00,s3://fyta-plant-images/UP-1001/IMG-1001-202606041630.jpg,"{""is_plant"": true, ""is_plant_probability"": 0.9954, ""health_assessment"": {""is_healthy"": true, ""is_healthy_probability"": 0.542, ""diseases"": [{""name"": ""Abiotic"", ""probability"": 0.4883, ""classification"": []}, {""name"": ""Water-related issue"", ""probability"": 0.4478, ""classification"": [""Abiotic""]}, {""name"": ""Water deficiency"", ""probability"": 0.444, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Nutrient deficiency"", ""probability"": 0.0502, ""classification"": [""Abiotic"", ""nutrient-related issue""]}, {""name"": ""Fungi"", ""probability"": 0.0432, ""classification"": []}, {""name"": ""Animalia"", ""probability"": 0.0229, ""classification"": []}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.005, ""classification"": [""Abiotic"", ""Water-related issue""]}], ""diseases_simple"": [{""name"": ""Abiotic"", ""probability"": 0.4883}, {""name"": ""Water-related issue"", ""probability"": 0.4478}, {""name"": ""Water deficiency"", ""probability"": 0.444}]}, ""model_version"": ""health_all_v3""}"
IMG-1001-202606111345,UP-1001,2026-06-11 13:45:00,s3://fyta-plant-images/UP-1001/IMG-1001-202606111345.jpg,"{""is_plant"": true, ""is_plant_probability"": 0.9976, ""health_assessment"": {""is_healthy"": true, ""is_healthy_probability"": 0.6638, ""diseases"": [{""name"": ""Abiotic"", ""probability"": 0.4244, ""classification"": []}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.3768, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Water-related issue"", ""probability"": 0.348, ""classification"": [""Abiotic""]}, {""name"": ""Animalia"", ""probability"": 0.0363, ""classification"": []}, {""name"": ""Nutrient deficiency"", ""probability"": 0.035, ""classification"": [""Abiotic"", ""nutrient-related issue""]}, {""name"": ""Water deficiency"", ""probability"": 0.0254, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Fungi"", ""probability"": 0.0198, ""classification"": []}], ""diseases_simple"": [{""name"": ""Abiotic"", ""probability"": 0.4244}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.3768}, {""name"": ""Water-related issue"", ""probability"": 0.348}]}, ""model_version"": ""health_all_v3""}"
IMG-1001-202606161515,UP-1001,2026-06-16 15:15:00,s3://fyta-plant-images/UP-1001/IMG-1001-202606161515.jpg,"{""is_plant"": true, ""is_plant_probability"": 0.9682, ""health_assessment"": {""is_healthy"": true, ""is_healthy_probability"": 0.8198, ""diseases"": [{""name"": ""Abiotic"", ""probability"": 0.3958, ""classification"": []}, {""name"": ""Water-related issue"", ""probability"": 0.3328, ""classification"": [""Abiotic""]}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.3205, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Nutrient deficiency"", ""probability"": 0.0591, ""classification"": [""Abiotic"", ""nutrient-related issue""]}, {""name"": ""Animalia"", ""probability"": 0.0319, ""classification"": []}, {""name"": ""Fungi"", ""probability"": 0.0223, ""classification"": []}, {""name"": ""Water deficiency"", ""probability"": 0.0154, ""classification"": [""Abiotic"", ""Water-related issue""]}], ""diseases_simple"": [{""name"": ""Abiotic"", ""probability"": 0.3958}, {""name"": ""Water-related issue"", ""probability"": 0.3328}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.3205}]}, ""model_version"": ""health_all_v3""}"
IMG-1002-202606010915,UP-1002,2026-06-01 09:15:00,s3://fyta-plant-images/UP-1002/IMG-1002-202606010915.jpg,"{""is_plant"": true, ""is_plant_probability"": 0.969, ""health_assessment"": {""is_healthy"": true, ""is_healthy_probability"": 0.5924, ""diseases"": [{""name"": ""Abiotic"", ""probability"": 0.4695, ""classification"": []}, {""name"": ""Water-related issue"", ""probability"": 0.3972, ""classification"": [""Abiotic""]}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.3777, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Nutrient deficiency"", ""probability"": 0.0511, ""classification"": [""Abiotic"", ""nutrient-related issue""]}, {""name"": ""Fungi"", ""probability"": 0.0335, ""classification"": []}, {""name"": ""Animalia"", ""probability"": 0.0267, ""classification"": []}, {""name"": ""Water deficiency"", ""probability"": 0.005, ""classification"": [""Abiotic"", ""Water-related issue""]}], ""diseases_simple"": [{""name"": ""Abiotic"", ""probability"": 0.4695}, {""name"": ""Water-related issue"", ""probability"": 0.3972}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.3777}]}, ""model_version"": ""health_all_v3""}"
IMG-1002-202606041715,UP-1002,2026-06-04 17:15:00,s3://fyta-plant-images/UP-1002/IMG-1002-202606041715.jpg,"{""is_plant"": true, ""is_plant_probability"": 0.9779, ""health_assessment"": {""is_healthy"": false, ""is_healthy_probability"": 0.4775, ""diseases"": [{""name"": ""Abiotic"", ""probability"": 0.6525, ""classification"": []}, {""name"": ""Water-related issue"", ""probability"": 0.5836, ""classification"": [""Abiotic""]}, {""name"": ""Water deficiency"", ""probability"": 0.5749, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Animalia"", ""probability"": 0.0336, ""classification"": []}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.028, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Nutrient deficiency"", ""probability"": 0.0242, ""classification"": [""Abiotic"", ""nutrient-related issue""]}, {""name"": ""Fungi"", ""probability"": 0.0229, ""classification"": []}], ""diseases_simple"": [{""name"": ""Abiotic"", ""probability"": 0.6525}, {""name"": ""Water-related issue"", ""probability"": 0.5836}, {""name"": ""Water deficiency"", ""probability"": 0.5749}]}, ""model_version"": ""health_all_v3""}"
IMG-1002-202606070900,UP-1002,2026-06-07 09:00:00,s3://fyta-plant-images/UP-1002/IMG-1002-202606070900.jpg,"{""is_plant"": true, ""is_plant_probability"": 0.9515, ""health_assessment"": {""is_healthy"": false, ""is_healthy_probability"": 0.3452, ""diseases"": [{""name"": ""Abiotic"", ""probability"": 0.6797, ""classification"": []}, {""name"": ""Water deficiency"", ""probability"": 0.6349, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Water-related issue"", ""probability"": 0.6248, ""classification"": [""Abiotic""]}, {""name"": ""Nutrient deficiency"", ""probability"": 0.0729, ""classification"": [""Abiotic"", ""nutrient-related issue""]}, {""name"": ""Animalia"", ""probability"": 0.0542, ""classification"": []}, {""name"": ""Fungi"", ""probability"": 0.0419, ""classification"": []}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.005, ""classification"": [""Abiotic"", ""Water-related issue""]}], ""diseases_simple"": [{""name"": ""Abiotic"", ""probability"": 0.6797}, {""name"": ""Water deficiency"", ""probability"": 0.6349}, {""name"": ""Water-related issue"", ""probability"": 0.6248}]}, ""model_version"": ""health_all_v3""}"
IMG-1002-202606101215,UP-1002,2026-06-10 12:15:00,s3://fyta-plant-images/UP-1002/IMG-1002-202606101215.jpg,"{""is_plant"": true, ""is_plant_probability"": 0.9884, ""health_assessment"": {""is_healthy"": true, ""is_healthy_probability"": 0.5574, ""diseases"": [{""name"": ""Abiotic"", ""probability"": 0.4142, ""classification"": []}, {""name"": ""Water deficiency"", ""probability"": 0.3768, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Water-related issue"", ""probability"": 0.3493, ""classification"": [""Abiotic""]}, {""name"": ""Animalia"", ""probability"": 0.0538, ""classification"": []}, {""name"": ""Nutrient deficiency"", ""probability"": 0.0462, ""classification"": [""Abiotic"", ""nutrient-related issue""]}, {""name"": ""Fungi"", ""probability"": 0.0236, ""classification"": []}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.005, ""classification"": [""Abiotic"", ""Water-related issue""]}], ""diseases_simple"": [{""name"": ""Abiotic"", ""probability"": 0.4142}, {""name"": ""Water deficiency"", ""probability"": 0.3768}, {""name"": ""Water-related issue"", ""probability"": 0.3493}]}, ""model_version"": ""health_all_v3""}"
IMG-1002-202606111830,UP-1002,2026-06-11 18:30:00,s3://fyta-plant-images/UP-1002/IMG-1002-202606111830.jpg,"{""is_plant"": true, ""is_plant_probability"": 0.9575, ""health_assessment"": {""is_healthy"": true, ""is_healthy_probability"": 0.7781, ""diseases"": [{""name"": ""Abiotic"", ""probability"": 0.2839, ""classification"": []}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.2813, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Water-related issue"", ""probability"": 0.2698, ""classification"": [""Abiotic""]}, {""name"": ""Nutrient deficiency"", ""probability"": 0.0342, ""classification"": [""Abiotic"", ""nutrient-related issue""]}, {""name"": ""Animalia"", ""probability"": 0.0306, ""classification"": []}, {""name"": ""Fungi"", ""probability"": 0.0302, ""classification"": []}, {""name"": ""Water deficiency"", ""probability"": 0.005, ""classification"": [""Abiotic"", ""Water-related issue""]}], ""diseases_simple"": [{""name"": ""Abiotic"", ""probability"": 0.2839}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.2813}, {""name"": ""Water-related issue"", ""probability"": 0.2698}]}, ""model_version"": ""health_all_v3""}"
IMG-1002-202606151330,UP-1002,2026-06-15 13:30:00,s3://fyta-plant-images/UP-1002/IMG-1002-202606151330.jpg,"{""is_plant"": true, ""is_plant_probability"": 0.9843, ""health_assessment"": {""is_healthy"": true, ""is_healthy_probability"": 0.6316, ""diseases"": [{""name"": ""Water excess and/or uneven watering"", ""probability"": 0.361, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Abiotic"", ""probability"": 0.3169, ""classification"": []}, {""name"": ""Water-related issue"", ""probability"": 0.3104, ""classification"": [""Abiotic""]}, {""name"": ""Fungi"", ""probability"": 0.036, ""classification"": []}, {""name"": ""Animalia"", ""probability"": 0.0201, ""classification"": []}, {""name"": ""Water deficiency"", ""probability"": 0.0166, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Nutrient deficiency"", ""probability"": 0.0099, ""classification"": [""Abiotic"", ""nutrient-related issue""]}], ""diseases_simple"": [{""name"": ""Water excess and/or uneven watering"", ""probability"": 0.361}, {""name"": ""Abiotic"", ""probability"": 0.3169}, {""name"": ""Water-related issue"", ""probability"": 0.3104}]}, ""model_version"": ""health_all_v3""}"
IMG-1003-202606021145,UP-1003,2026-06-02 11:45:00,s3://fyta-plant-images/UP-1003/IMG-1003-202606021145.jpg,"{""is_plant"": true, ""is_plant_probability"": 0.9784, ""health_assessment"": {""is_healthy"": true, ""is_healthy_probability"": 0.8222, ""diseases"": [{""name"": ""Abiotic"", ""probability"": 0.2783, ""classification"": []}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.267, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Water-related issue"", ""probability"": 0.2385, ""classification"": [""Abiotic""]}, {""name"": ""Nutrient deficiency"", ""probability"": 0.0383, ""classification"": [""Abiotic"", ""nutrient-related issue""]}, {""name"": ""Fungi"", ""probability"": 0.0365, ""classification"": []}, {""name"": ""Water deficiency"", ""probability"": 0.0066, ""classification"": [""Abiotic"", ""Water-related issue""]}, {""name"": ""Animalia"", ""probability"": 0.0055, ""classification"": []}], ""diseases_simple"": [{""name"": ""Abiotic"", ""probability"": 0.2783}, {""name"": ""Water excess and/or uneven watering"", ""probability"": 0.267}, {""name"": ""Water-related issue"", ""probability"": 0.2385}]}, ""model_version"": ""health_all_v3""}"
