user_plant_id,species,timestamp,substrate_label,soil_moisture_vwc_clean,soil_temp_c_clean,ec_us_cm_clean,light_par_clean,air_humidity_pct_clean,soil_moisture_vwc_clean_anomaly,soil_temp_c_clean_anomaly,light_par_clean_anomaly,ec_us_cm_clean_anomaly,environmental_anomaly_count
UP-1001,Monstera deliciosa,2026-06-01 00:00:00,potting_soil,39.894999999999996,18.475,688.5,0.0,59.6,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 00:15:00,potting_soil,39.97,17.810000000000002,668.0,0.0,59.75,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 00:30:00,potting_soil,39.815,18.65,669.5,0.0,60.8,1,0,0,1,2
UP-1001,Monstera deliciosa,2026-06-01 00:45:00,potting_soil,39.61,18.265,679.0,0.0,63.95,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 01:00:00,potting_soil,39.629999999999995,17.23,681.5,0.0,64.05,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 01:15:00,potting_soil,39.555,17.415,761.0,0.0,64.65,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 01:30:00,potting_soil,39.435,17.54,708.5,0.0,64.35,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 01:45:00,potting_soil,39.33,17.595,728.0,0.0,66.80000000000001,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 02:00:00,potting_soil,39.150000000000006,17.655,684.0,0.0,67.80000000000001,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 02:15:00,potting_soil,39.015,17.3,691.0,0.0,69.44999999999999,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 02:30:00,potting_soil,39.095,17.86,692.5,0.0,72.05,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 02:45:00,potting_soil,38.985,17.68,713.0,0.0,64.30000000000001,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 03:00:00,potting_soil,38.78,17.725,727.5,0.0,71.55000000000001,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 03:15:00,potting_soil,38.8,17.66,636.0,0.0,69.7,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 03:30:00,potting_soil,38.595,18.235,665.5,0.0,74.05,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 03:45:00,potting_soil,38.76,17.28,717.5,0.0,70.15,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 04:00:00,potting_soil,38.6,17.515,727.5,0.0,70.80000000000001,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 04:15:00,potting_soil,38.465,17.29,678.5,0.0,71.55,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 04:30:00,potting_soil,38.364999999999995,17.9,692.0,0.0,74.1,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 04:45:00,potting_soil,38.11,17.505000000000003,696.0,0.0,74.5,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 05:00:00,potting_soil,37.855000000000004,17.990000000000002,695.0,0.0,72.9,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 05:15:00,potting_soil,37.72,17.575,704.5,0.0,74.8,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 05:30:00,potting_soil,37.86,18.5,711.5,2.3,72.0,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 05:45:00,potting_soil,37.78,18.07,641.5,1.5,73.85,1,1,0,1,3
UP-1001,Monstera deliciosa,2026-06-01 06:00:00,potting_soil,37.585,18.36,688.5,6.550000000000001,73.4,1,1,0,0,2
UP-1001,Monstera deliciosa,2026-06-01 06:15:00,potting_soil,37.37,18.740000000000002,677.5,25.3,73.15,1,0,0,1,2
UP-1001,Monstera deliciosa,2026-06-01 06:30:00,potting_soil,37.230000000000004,19.435,727.5,34.1,77.15,1,0,0,1,2
UP-1001,Monstera deliciosa,2026-06-01 06:45:00,potting_soil,37.394999999999996,18.91,656.5,61.400000000000006,70.25,1,0,0,1,2
UP-1001,Monstera deliciosa,2026-06-01 07:00:00,potting_soil,37.425,19.305,742.5,84.3,68.6,1,0,0,1,2
UP-1001,Monstera deliciosa,2026-06-01 07:15:00,potting_soil,37.185,19.39,686.5,105.75,68.65,1,0,0,0,1
UP-1001,Monstera deliciosa,2026-06-01 07:30:00,potting_soil,36.980000000000004,19.915,740.0,120.45,69.94999999999999,1,0,0,1,2
UP-1001,Monstera deliciosa,2026-06-01 07:45:00,potting_soil,36.825,19.65,648.5,131.8,68.6,1,0,0,1,2
UP-1001,Monstera deliciosa,2026-06-01 08:00:00,potting_soil,36.644999999999996,20.155,694.5,149.45,68.2,1,0,0,0,1
UP-1001,Monstera deliciosa,2026-06-01 08:15:00,potting_soil,36.515,20.055,652.5,175.55,64.45,1,0,0,1,2
UP-1001,Monstera deliciosa,2026-06-01 08:30:00,potting_soil,36.32,21.115000000000002,683.0,192.64999999999998,66.9,1,0,0,0,1
UP-1001,Monstera deliciosa,2026-06-01 08:45:00,potting_soil,36.485,21.08,689.5,197.8,61.95,1,0,0,0,1
UP-1001,Monstera deliciosa,2026-06-01 09:00:00,potting_soil,36.44,20.775,670.0,222.5,65.9,1,0,0,1,2
UP-1001,Monstera deliciosa,2026-06-01 09:15:00,potting_soil,36.290000000000006,20.985,677.0,224.05,68.1,1,0,0,1,2
UP-1001,Monstera deliciosa,2026-06-01 09:30:00,potting_soil,36.02,21.134999999999998,713.0,252.0,62.15,1,0,1,0,2
UP-1001,Monstera deliciosa,2026-06-01 09:45:00,potting_soil,36.125,21.97,732.0,273.25,58.65,1,0,1,1,3
UP-1001,Monstera deliciosa,2026-06-01 10:00:00,potting_soil,36.075,21.725,740.5,275.6,59.8,1,0,1,1,3
UP-1001,Monstera deliciosa,2026-06-01 10:15:00,potting_soil,35.545,21.965,669.0,292.20000000000005,56.0,1,0,1,1,3
UP-1001,Monstera deliciosa,2026-06-01 10:30:00,potting_soil,35.55,22.085,711.0,294.15,54.95,1,0,1,0,2
UP-1001,Monstera deliciosa,2026-06-01 10:45:00,potting_soil,35.385000000000005,22.73,681.0,299.79999999999995,55.7,1,0,1,1,3
UP-1001,Monstera deliciosa,2026-06-01 11:00:00,potting_soil,35.015,23.02,703.5,297.79999999999995,50.75,1,0,1,0,2
UP-1001,Monstera deliciosa,2026-06-01 11:15:00,potting_soil,34.834999999999994,23.265,710.0,315.65,58.0,1,0,1,0,2
