device_id,timestamp,substrate_label,soil_moisture_vwc,soil_temp_c,ec_us_cm,light_par,air_humidity_pct,is_outlier,outlier_reason,time_diff,estimated_missing_readings
SENS-01,2026-06-01 00:00:00,potting_soil,40.93,18.65,733.0,0.0,59.6,False,,,0
SENS-01,2026-06-01 00:15:00,potting_soil,40.68,17.95,694.0,0.0,58.8,False,,0 days 00:15:00,0
SENS-01,2026-06-01 00:30:00,potting_soil,40.63,18.52,671.0,0.0,63.6,False,,0 days 00:15:00,0
SENS-01,2026-06-01 00:45:00,potting_soil,40.29,18.47,684.0,0.0,64.4,False,,0 days 00:15:00,0
SENS-01,2026-06-01 01:00:00,potting_soil,40.29,17.19,652.0,0.0,64.0,False,,0 days 00:15:00,0
SENS-01,2026-06-01 01:15:00,potting_soil,40.44,17.34,780.0,0.0,62.6,False,,0 days 00:15:00,0
SENS-01,2026-06-01 01:30:00,potting_soil,40.63,17.82,696.0,0.0,66.3,False,,0 days 00:15:00,0
SENS-01,2026-06-01 01:45:00,potting_soil,40.65,17.56,726.0,0.0,66.7,False,,0 days 00:15:00,0
SENS-01,2026-06-01 02:00:00,potting_soil,40.24,17.61,679.0,0.0,63.7,False,,0 days 00:15:00,0
SENS-01,2026-06-01 02:15:00,potting_soil,40.15,17.23,658.0,0.0,64.1,False,,0 days 00:15:00,0
SENS-01,2026-06-01 02:30:00,potting_soil,40.46,17.88,691.0,0.0,71.0,False,,0 days 00:15:00,0
SENS-01,2026-06-01 02:45:00,potting_soil,40.16,17.82,744.0,0.0,62.2,False,,0 days 00:15:00,0
SENS-01,2026-06-01 03:00:00,potting_soil,40.02,17.53,679.0,0.0,71.2,False,,0 days 00:15:00,0
SENS-01,2026-06-01 03:15:00,potting_soil,40.18,17.96,665.0,0.0,69.7,False,,0 days 00:15:00,0
SENS-01,2026-06-01 03:30:00,potting_soil,40.17,17.72,706.0,0.0,75.6,False,,0 days 00:15:00,0
SENS-01,2026-06-01 03:45:00,potting_soil,40.54,17.22,720.0,0.0,70.6,False,,0 days 00:15:00,0
